Date,Open,High,Low,Close,Adj Close,Volume
11/02/2022,144.759995,145.059998,139.559998,140.179993,137.381058,6710500
14/02/2022,140.080002,143.210007,139.789993,141.589996,138.762924,6841200
15/02/2022,144.220001,146.320007,144.100006,145.580002,142.673233,7820200
16/02/2022,145.020004,146.949997,144.610001,146.490005,143.565094,4817500
17/02/2022,145.539993,146.910004,142.639999,142.800003,139.948746,5202300
18/02/2022,143.369995,143.940002,141.809998,142.949997,140.095749,5177400
22/02/2022,141.589996,141.639999,136.160004,138.190002,135.430801,9604500
23/02/2022,139.660004,140.970001,136.509995,136.830002,134.097961,7636600
24/02/2022,133,137.419998,130.929993,137.169998,134.431152,8417200
25/02/2022,138.130005,139.220001,136.190002,138.800003,136.028641,5424500
28/02/2022,137.059998,138.380005,135.039993,136.550003,133.823532,6613300
01/03/2022,136.720001,136.75,131.149994,132.220001,129.580002,6534000
02/03/2022,132.979996,136.610001,132.770004,135.679993,132.970901,7743900
03/03/2022,136.740005,136.800003,133.449997,133.970001,131.295074,4576500
04/03/2022,132.509995,133.619995,130.699997,131.179993,128.854095,7084500
07/03/2022,131,131.029999,124.169998,124.440002,122.233627,11383400
08/03/2022,125.239998,125.470001,120.800003,121.209999,119.060883,9089400
09/03/2022,127.379997,129.649994,126.629997,126.949997,124.69912,8845100
10/03/2022,124.019997,126.599998,124,126.029999,123.795425,7167400
11/03/2022,127.010002,127.870003,122.510002,122.629997,120.455711,5882000
14/03/2022,121.529999,122.449997,116.75,117.57,115.485428,13884900
15/03/2022,119.839996,120.419998,117.75,119.400002,117.28299,10431300
16/03/2022,122.849998,126.110001,121.93,125.190002,122.970329,11100400
17/03/2022,124.940002,127.410004,123.699997,127.410004,125.150955,6845300
18/03/2022,126.849998,131.460007,126.699997,131.240005,128.91304,10350900
21/03/2022,129.720001,132.309998,128.619995,130.190002,127.881653,14388500
22/03/2022,137.279999,139,132.990005,133.089996,130.73024,19731200
23/03/2022,132.639999,135.399994,131.199997,133,130.641846,8068800
24/03/2022,133.75,134.190002,131.199997,132.080002,129.738159,5853800
25/03/2022,133.050003,133.869995,131.710007,133.699997,131.329422,6287000
28/03/2022,133.759995,134.860001,132.169998,134.809998,132.419754,5804100
29/03/2022,137.850006,139.75,136.949997,139.139999,136.672974,7275900
30/03/2022,138.979996,139.860001,137.559998,138.539993,136.083633,5545800
31/03/2022,137.830002,138.710007,134.5,134.559998,132.174194,7206500
01/04/2022,134.449997,135.279999,132.75,133.520004,131.152618,5807500
04/04/2022,133.050003,135.210007,132.860001,134.339996,131.958099,5307300
05/04/2022,134.039993,134.679993,132.020004,132.300003,129.954269,5707800
06/04/2022,130.050003,130.300003,126.330002,128.360001,126.084122,6961000
07/04/2022,127.43,129.979996,127.089996,129.380005,127.086044,5320500
08/04/2022,129.440002,129.929993,127.879997,128.149994,125.877831,4877400
11/04/2022,125.099998,126.870003,124.32,124.980003,122.764046,6365400
12/04/2022,125.199997,128.100006,124.339996,125.040001,122.822983,5146800
13/04/2022,125.040001,127.860001,125.040001,127.489998,125.229553,5119300
14/04/2022,129.080002,134.380005,128.889999,133.460007,131.093704,12811300
18/04/2022,132,133.389999,130.309998,131.630005,129.296158,5298200
19/04/2022,133.089996,137.479996,132.779999,137.050003,134.620041,7346100
20/04/2022,137.960007,138.649994,135.660004,135.869995,133.460953,5309700
21/04/2022,138.550003,139.139999,135.080002,135.460007,133.058243,6562400
22/04/2022,134.330002,134.929993,128.710007,129.070007,126.781548,7321700
25/04/2022,127.800003,128.940002,124.849998,127.940002,125.67157,6512500
26/04/2022,126.949997,127.589996,120.480003,120.519997,118.383125,7977900
27/04/2022,121.089996,124,121.089996,121.239998,119.090355,6007800
28/04/2022,123.169998,127.970001,122.599998,127.050003,124.797348,6551600
29/04/2022,126.220001,128.449997,124.25,124.699997,122.489014,5867900
02/05/2022,124.43,126.18,122.800003,126.080002,123.844559,5428400
03/05/2022,125.019997,125.760002,120.220001,122.860001,120.681648,8201200
04/05/2022,122.540001,126.199997,120.080002,126.059998,123.824898,6924000
05/05/2022,124.110001,124.75,116.519997,118.629997,116.526627,8411600
06/05/2022,113.739998,115.900002,110.660004,114.489998,112.460037,11237500
09/05/2022,112.970001,114.43,110.589996,111.209999,109.238197,7506000
10/05/2022,113.029999,113.440002,108.349998,109.489998,107.548683,7526900
11/05/2022,110.699997,111.150002,107.589996,107.919998,106.006523,6611800
12/05/2022,105.18,109.879997,105,107.900002,105.986885,10245400
13/05/2022,110.260002,113.110001,108.669998,113.010002,111.006279,9618800
16/05/2022,112.980003,113.440002,111.559998,112.599998,110.603546,5722500
17/05/2022,115.5,117.099998,113.07,115.900002,113.845039,6026100
18/05/2022,112.5,113.360001,108.779999,109.370003,107.430824,8188300
19/05/2022,108.949997,109.110001,106.279999,106.440002,104.55278,7702000
20/05/2022,108.669998,109.690002,105.07,108,106.085106,7621900
23/05/2022,107.470001,108.75,105.82,108.629997,106.703941,7136400
24/05/2022,107.110001,107.989998,104.730003,107.290001,105.387695,6023400
25/05/2022,103.459999,108.889999,103.459999,108.199997,106.281563,7158800
26/05/2022,110,113.5,110,112.940002,110.937515,6520300
27/05/2022,114.220001,116.010002,114.010002,115.989998,113.933449,5043000
31/05/2022,117.5,119.790001,114.449997,118.849998,116.742737,13774600
01/06/2022,119.830002,120.75,117.610001,118.68,116.575745,5543100
02/06/2022,119.510002,123.580002,119.260002,123.410004,121.221893,5838100
03/06/2022,120.209999,122.540001,120,120.949997,119.099846,5201500
06/06/2022,121.5,122.139999,119.43,120.230003,118.390869,3963400
07/06/2022,118.660004,121.970001,118.459999,121.669998,119.808838,5373600
08/06/2022,120.900002,123.82,120.449997,122.400002,120.527679,4365800
09/06/2022,121.349998,122.029999,118.589996,118.599998,116.785789,3892600
10/06/2022,117.089996,117.089996,114.260002,114.730003,112.974998,6292600
13/06/2022,110.389999,112.019997,109.239998,110.440002,108.750626,6423100
14/06/2022,110.370003,111.889999,110.010002,110.720001,109.026337,4548400
15/06/2022,112.160004,114.720001,111.209999,113.440002,111.704727,4828700
16/06/2022,109.510002,109.900002,105.720001,107.120003,105.481407,7384800
17/06/2022,106.150002,108.550003,105.849998,107.339996,105.698029,10256800
21/06/2022,108.459999,109.82,108.040001,108.68,107.01754,6211400
22/06/2022,105.400002,106.900002,104.610001,104.919998,103.315056,9884000
23/06/2022,105.010002,108.099998,104.410004,108,106.347946,8898400
24/06/2022,109.93,112.940002,109.610001,112.910004,111.182838,10463700
27/06/2022,112.239998,113.209999,109.839996,110.5,108.809708,12644700
28/06/2022,108.199997,114.050003,102.480003,102.779999,101.207787,31296500
29/06/2022,102.989998,105.610001,101.529999,103.25,101.670616,10326600
30/06/2022,101.940002,103.379997,100.779999,102.199997,100.636673,9027400
01/07/2022,101.639999,102.5,99.529999,101.18,99.632263,7934300
05/07/2022,100.449997,104.379997,100.110001,104.32,102.724236,9948800
06/07/2022,104.889999,105.720001,103.449997,104.230003,102.635612,6432900
07/07/2022,105.650002,108.279999,105.269997,108.129997,106.475952,7633900
08/07/2022,106.580002,108.610001,106.510002,107.93,106.279022,5938600
11/07/2022,106.599998,107.089996,104.870003,105.110001,103.502144,4935200
12/07/2022,105.010002,105.860001,103.150002,103.760002,102.172813,6017400
13/07/2022,101.940002,105.879997,101.559998,105.110001,103.502144,5299400
14/07/2022,103.110001,103.800003,101.849998,103.220001,101.641068,6951300
15/07/2022,104.760002,105.620003,103.93,104.699997,103.098427,7862000
18/07/2022,106.190002,106.68,103.68,103.940002,102.350044,6834800
19/07/2022,105.599998,109.580002,105.43,109.190002,107.519745,8973900
20/07/2022,109.220001,111.629997,108.870003,111.110001,109.410362,5884600
21/07/2022,110.370003,111.669998,110.07,111.620003,109.912575,4291400
22/07/2022,111.93,111.93,108.75,109.120003,107.450813,6039300
25/07/2022,109.610001,109.610001,107.68,109.279999,107.60836,5079500
26/07/2022,107.480003,107.93,104.57,105.199997,103.590775,8459500
27/07/2022,106.300003,108.379997,105.75,107.860001,106.210091,7437000
28/07/2022,109.43,112.400002,108.029999,112.230003,110.513245,6773500
29/07/2022,112.760002,115.209999,111.5,114.919998,113.162094,7560000
01/08/2022,114,115.550003,113.25,114.300003,112.551582,4802900
02/08/2022,113.57,113.779999,111.669998,111.769997,110.060265,6334400
03/08/2022,113.419998,115.099998,112.580002,114.279999,112.531876,5986500
04/08/2022,114.639999,115.349998,113.830002,114.480003,112.728828,4332000
05/08/2022,112.790001,114.300003,112.57,113.870003,112.128159,4162200
08/08/2022,114,115.580002,113.309998,114,112.256157,6071600
09/08/2022,111.32,111.75,108.82,110.110001,108.425667,7377600
10/08/2022,113.239998,113.830002,111.860001,113.139999,111.409317,6951800
11/08/2022,114.879997,116.75,113.730003,114.099998,112.35463,5582100
12/08/2022,114.389999,116.129997,113.769997,116.07,114.294495,4407900
15/08/2022,115.449997,116.580002,114.849998,116.32,114.54068,4279000
16/08/2022,115.940002,118.470001,115.809998,118.059998,116.254059,6189800
17/08/2022,116.769997,117.980003,116.410004,117.040001,115.249649,5108400
18/08/2022,116,116.68,115.300003,116.010002,114.235413,4750200
19/08/2022,115.5,115.650002,113.029999,113.160004,111.429016,5967600
22/08/2022,111.019997,111.68,109.839996,110.339996,108.65213,5802900
23/08/2022,110.839996,112.830002,110.57,110.68,108.986954,4806700
24/08/2022,110.68,112.43,110.019997,111.410004,109.705795,4769000
25/08/2022,111.900002,113.339996,111.389999,113.220001,111.488098,5433700
26/08/2022,113.309998,113.730003,108.230003,108.279999,106.623665,6203600
29/08/2022,106.809998,108.540001,106.440002,107.879997,106.229774,4132400
30/08/2022,108.970001,110.080002,107.129997,107.860001,106.210091,5129500
31/08/2022,107.959999,108.010002,105.809998,106.449997,104.821655,8884800
01/09/2022,105.800003,106.550003,103.800003,106.489998,104.861046,5590800
02/09/2022,107.459999,108.150002,105.050003,105.739998,104.421593,7763800
06/09/2022,105.440002,106.410004,103.68,105.150002,103.838951,9158900
07/09/2022,105.080002,108.559998,105,108.480003,107.127434,7238300
08/09/2022,107,108.790001,106.080002,108.730003,107.374313,5628300
09/09/2022,109.379997,111.690002,109.300003,110.970001,109.58638,5171500
12/09/2022,111.379997,113.360001,111.379997,112.379997,110.978798,4836900
13/09/2022,108.839996,108.910004,105.440002,105.720001,104.40184,5955600
14/09/2022,106.129997,107.360001,105.150002,107,105.665886,4888700
15/09/2022,106.150002,108.139999,104.830002,105.5,104.184586,6598900
16/09/2022,104.07,105.290001,103.25,104.120003,102.821793,8000800
19/09/2022,103.690002,107.370003,103.330002,107.209999,105.87326,5162300
20/09/2022,103.82,104.440002,101.709999,102.419998,101.14299,10006600
21/09/2022,102.669998,103.629997,99.769997,99.790001,98.545776,6279300
22/09/2022,99.790001,100.209999,97.830002,98.550003,97.321236,9638800
23/09/2022,96.919998,97.540001,95.339996,97.019997,95.81031,9026500
26/09/2022,96.089996,97.730003,95.709999,96.059998,94.862282,8521600
27/09/2022,97.07,97.739998,95,96.290001,95.089417,9890300
28/09/2022,97.110001,99.43,96.760002,98.699997,97.46936,9423300
29/09/2022,98.110001,98.110001,94.480003,95.330002,94.141388,19339200
30/09/2022,83.300003,86.199997,82.5,83.120003,82.083633,48176100
03/10/2022,83.129997,86.470001,82.220001,85.400002,84.335205,19108200
04/10/2022,87.699997,89.07,87.110001,88.639999,87.534798,15114800
05/10/2022,87.489998,91.699997,87.150002,91.099998,89.964127,12732700
06/10/2022,90.489998,92.639999,89.809998,90.169998,89.045723,9951900
07/10/2022,88.540001,88.760002,86.690002,87.160004,86.073257,8554700
10/10/2022,87.760002,87.779999,85.07,86.690002,85.609116,7991200
11/10/2022,86.040001,88.25,85.75,87.989998,86.892906,11903200
12/10/2022,88,88.879997,87.309998,88.510002,87.406425,8772900
13/10/2022,86.389999,89.809998,86.050003,89.559998,88.443329,9335000
14/10/2022,90.510002,90.879997,87.489998,87.550003,86.458405,7811700
17/10/2022,89.529999,90.690002,88.699997,89.970001,88.848221,8451900
18/10/2022,92.599998,92.910004,89.150002,89.68,88.561836,7364700
19/10/2022,88.260002,89.739998,87.760002,88.57,87.465668,5102000
20/10/2022,89.470001,90.580002,86.610001,86.830002,85.747375,13500000
21/10/2022,87.019997,88.779999,86.709999,88.5,87.396553,7976300
24/10/2022,87.790001,88.839996,86.239998,88.010002,86.912659,8847100
25/10/2022,88.029999,91.93,87.889999,91.720001,90.576401,8639900
26/10/2022,90.779999,94.349998,90.699997,92.389999,91.238045,8648200
27/10/2022,92.879997,93.480003,90.220001,90.540001,89.41111,8617900
28/10/2022,91.199997,93.879997,90.459999,93.830002,92.660088,6022400
31/10/2022,93,93.889999,92.68,92.68,91.524429,6426400
01/11/2022,95.690002,96.459999,92.970001,93.769997,92.600838,7250700
02/11/2022,93.129997,94.440002,90.190002,90.300003,89.17411,7176600
03/11/2022,89.970001,91.610001,88.720001,90.400002,89.272858,6550300
04/11/2022,94.449997,98.230003,93.949997,95.790001,94.59565,12543300
07/11/2022,96.309998,96.870003,92.669998,93.440002,92.274956,9094500
08/11/2022,94.440002,96.029999,92.940002,93.75,92.581085,7017800
09/11/2022,92.669998,93.900002,91.959999,92.099998,90.95166,6550900
10/11/2022,96.330002,99.68,96.230003,99.489998,98.249519,9361000
11/11/2022,100.309998,107.209999,100.139999,106.089996,104.767227,12597500
14/11/2022,105.199997,106.440002,104.32,104.389999,103.088425,7134900
15/11/2022,107.989998,109.309998,105.529999,106.709999,105.379494,7242900
16/11/2022,105.25,106.599998,104.769997,105.230003,103.917961,5998700
17/11/2022,104.110001,105.400002,102.919998,105.360001,104.046333,5252900
18/11/2022,107.629997,107.720001,104.169998,105.419998,104.105583,5498900
21/11/2022,104.610001,105.480003,103.599998,103.830002,102.5354,4774800
22/11/2022,104.620003,106.160004,103.839996,105.970001,104.648727,5313200
23/11/2022,106,106.980003,105.230003,106.650002,105.320251,3873100
25/11/2022,106.449997,107.18,105.559998,105.959999,104.638855,3426100
28/11/2022,105.25,106.300003,104.650002,104.959999,103.651314,6967400
29/11/2022,105.370003,106.82,105.120003,106.25,104.925232,8494400
30/11/2022,107.080002,109.690002,105.449997,109.690002,108.32235,16251000
01/12/2022,110.089996,111.860001,109.550003,111.110001,109.724632,7822900
02/12/2022,108.650002,112.709999,108.339996,112.199997,111.141144,5892000
05/12/2022,111.019997,111.129997,109.190002,109.620003,108.585495,6220100
06/12/2022,109.650002,110.529999,106.75,107.93,106.911438,7086100
07/12/2022,107.32,109.120003,107.059998,108.330002,107.307655,5751500
08/12/2022,108.599998,111.489998,108.459999,111.360001,110.309074,6192800
09/12/2022,110.220001,111.379997,109.260002,109.419998,108.387375,5677700
12/12/2022,110.099998,112.169998,109.709999,112.07,111.012367,6426000
13/12/2022,115.610001,116.449997,111.25,112.849998,111.785011,8655300
14/12/2022,113.699997,114.120003,110.230003,111.449997,110.398216,7528500
15/12/2022,109.190002,109.620003,107.730003,108.510002,107.48597,7500700
16/12/2022,106.870003,107.610001,105.120003,105.949997,104.950119,14083600
19/12/2022,104.989998,105.510002,102.449997,103.050003,102.077492,10620300
20/12/2022,103,103.400002,101.68,103.209999,102.235985,17147900
21/12/2022,116.760002,119.18,115.339996,115.779999,114.687363,32777300
22/12/2022,114.290001,116.82,114.059998,116.709999,115.608574,17147600
23/12/2022,116.110001,117.169998,115.779999,116.25,115.152924,6603700
27/12/2022,116.470001,118.199997,115.82,117.559998,116.450562,6661100
28/12/2022,117.580002,118.239998,114.959999,114.980003,113.894905,5437800
29/12/2022,116.080002,118.07,115.800003,117.349998,116.242546,4588600
30/12/2022,116.559998,117.25,115.769997,117.010002,115.905754,4355500
03/01/2023,118.550003,119.489998,117.440002,118.75,117.629326,8124800
04/01/2023,119.959999,122.230003,119.529999,121.209999,120.066109,8550700
05/01/2023,120.279999,122.339996,120.080002,120.620003,119.481682,6046700
06/01/2023,122,125.360001,121.769997,124.529999,123.354782,10080700
09/01/2023,125,126.610001,124.550003,124.849998,123.671761,9397900
10/01/2023,125.209999,126.330002,124.370003,125.839996,124.652412,5899900
11/01/2023,126.32,128.259995,126.010002,127.940002,126.732605,6989200
12/01/2023,128.350006,128.460007,126.459999,127.889999,126.683075,8366400
13/01/2023,126.660004,129.229996,126.660004,128.850006,127.634026,4856500
17/01/2023,128,129.050003,127.830002,128.139999,126.93071,6172200
18/01/2023,127.800003,128.589996,126,126.43,125.236847,6828800
19/01/2023,124.790001,125.440002,123.610001,124.529999,123.354782,5273500
20/01/2023,124.68,126.639999,124.040001,126.620003,125.425056,5673200
23/01/2023,126.900002,128.75,126.540001,128.289993,127.079292,5581600
24/01/2023,126.809998,128.009995,120.449997,126.830002,125.63308,5486200
25/01/2023,125.860001,127.010002,124.830002,126.82,125.623169,5933700
26/01/2023,128.460007,128.990005,126.010002,127.529999,126.326469,5838800
27/01/2023,127.07,128.580002,126.699997,127.529999,126.326469,5730000
30/01/2023,126.5,127.559998,126.209999,126.370003,125.177422,6494600
31/01/2023,126.419998,127.849998,126.010002,127.330002,126.128357,7686900
01/02/2023,127.900002,130.220001,126.220001,129.5,128.277863,6387900
02/02/2023,130.449997,131.309998,127.860001,129.059998,127.842018,5214500
03/02/2023,126.790001,129.419998,126.440002,127.610001,126.405716,4930200
06/02/2023,125.519997,126.099998,124.32,125.730003,124.543457,4666400
07/02/2023,123.959999,125.93,123.25,125.330002,124.147232,5288900
08/02/2023,123.379997,124.099998,121.800003,122.910004,121.750069,5877800
09/02/2023,124.709999,125.019997,121.5,122.18,121.026955,5929000
10/02/2023,121.510002,122.639999,120.540001,122.230003,121.076485,5195500
13/02/2023,122.82,125.720001,122.459999,125.150002,123.968933,5689800
14/02/2023,123.949997,126.360001,123.739998,126.199997,125.009018,4845900
15/02/2023,124.900002,127.5,124.900002,127.480003,126.276947,5687900
16/02/2023,125.43,127.209999,124.110001,124.379997,123.206192,4722200
17/02/2023,123.709999,124.889999,123.440002,124.839996,123.66185,5161500
21/02/2023,123.279999,124,120.980003,121.099998,119.957146,5110300
22/02/2023,121.099998,121.400002,119.639999,119.900002,118.768478,5022000
23/02/2023,120.760002,120.760002,118.550003,119.959999,118.827904,4101900
24/02/2023,117.970001,118.739998,117.339996,118.040001,116.926033,4693000
27/02/2023,119.260002,119.82,118.32,118.529999,117.4114,4239800
28/02/2023,118.739998,120.400002,117.849998,118.790001,117.668945,8414100
01/03/2023,117.949997,119.790001,117.830002,118.580002,117.460938,4120500
02/03/2023,117.550003,119.959999,117.550003,119.580002,118.451492,4443200
03/03/2023,120.129997,121.040001,119.019997,120.940002,120.140251,3871800
06/03/2023,121.129997,121.989998,119.959999,120.169998,119.375343,5183800
07/03/2023,120.199997,121.019997,119.230003,119.589996,118.799171,5345700
08/03/2023,119.269997,120.040001,118.730003,119.860001,119.067398,4175200
09/03/2023,120.080002,121.860001,117.550003,117.870003,117.090561,5635900
10/03/2023,118.830002,118.989998,116.639999,117.489998,116.713066,5979600
13/03/2023,115.82,118.290001,115.790001,116.860001,116.087234,6038200
14/03/2023,119,119.489998,117.230003,119,118.213074,6050800
15/03/2023,116.32,118.629997,115.809998,118.169998,117.388565,6599200
16/03/2023,116.860001,120.809998,116.610001,120.650002,119.852165,5658700
17/03/2023,121.169998,121.730003,118.669998,120.389999,119.593887,12868900
20/03/2023,120.989998,122.68,119.809998,121.199997,120.398521,7594100
21/03/2023,123.5,126.059998,122.970001,125.610001,124.779366,15078800
22/03/2023,123.660004,125.260002,119.330002,119.5,118.70977,17625500
23/03/2023,120.470001,123.269997,119.470001,120.970001,120.170052,7628100
24/03/2023,120.230003,121,119.32,120.709999,119.911766,6158800
27/03/2023,121.019997,121.07,117.610001,117.809998,117.030945,6564200
28/03/2023,117.949997,118.440002,116.849998,117.870003,117.090561,4461400
29/03/2023,118.639999,120.57,118.489998,120.489998,119.69323,5644000
30/03/2023,121.029999,121.440002,119.339996,120.099998,119.305801,4578900
31/03/2023,120.919998,122.709999,120.599998,122.639999,121.82901,5659400
03/04/2023,122.5,122.849998,120.82,121.669998,120.865425,4838400
04/04/2023,121.379997,123.949997,121.360001,123.690002,122.872063,5895300
05/04/2023,123,123.330002,120.559998,120.900002,120.100517,4331400
06/04/2023,119.510002,120.489998,117.849998,120.220001,119.425011,4256900
10/04/2023,119.300003,121.910004,119.129997,121.910004,121.103836,3731200
11/04/2023,122.040001,124.080002,122.040001,123.300003,122.484642,4471000
12/04/2023,124.760002,124.860001,123.220001,123.660004,122.84227,4524900
13/04/2023,124.639999,126.669998,124.459999,126.43,125.593948,5355300
14/04/2023,127,127.489998,125.489998,125.949997,125.117119,4828700
17/04/2023,126.029999,126.480003,125.129997,126.190002,125.355537,3917900
18/04/2023,127.230003,127.279999,125.019997,126.209999,125.375397,3857700
19/04/2023,126,126.080002,124.919998,125.669998,124.838974,3547400
20/04/2023,124.800003,125.349998,123.709999,124.449997,123.627037,3891600
21/04/2023,124.400002,125.68,123.620003,125.529999,124.699898,3651400
24/04/2023,125.510002,127.129997,125.150002,127.089996,126.24958,3790900
25/04/2023,126.529999,126.769997,124.050003,124.660004,123.835655,4383300
26/04/2023,124.209999,124.980003,123.290001,123.839996,123.021072,4003200
27/04/2023,124.440002,126.010002,123.139999,125.699997,124.868774,4252100
28/04/2023,125.150002,127.07,124.959999,126.720001,125.882034,4420700
01/05/2023,126.919998,128.679993,126.860001,127.919998,127.074089,4112600
02/05/2023,127.150002,127.580002,125.169998,127.260002,126.418457,3831600
03/05/2023,125.489998,128.380005,123.669998,126.739998,125.901894,4560100
04/05/2023,124.940002,125.190002,122.82,123.669998,122.852196,6177100
05/05/2023,125.93,127.029999,125.220001,126.589996,125.752884,4887500
08/05/2023,127.260002,127.690002,125.980003,126.879997,126.04097,3892600
09/05/2023,125.269997,125.660004,124.169998,125.099998,124.272743,4082100
10/05/2023,126.290001,126.459999,122.169998,123.510002,122.693253,5052600
11/05/2023,123.449997,123.860001,121.900002,122.220001,121.411789,5923100
12/05/2023,120.989998,121.199997,119.029999,120.209999,119.415077,6571800
15/05/2023,119.82,119.989998,118.010002,119.830002,119.037598,5518200
16/05/2023,117.5,117.839996,116.120003,116.480003,115.709747,8306400
17/05/2023,116.379997,117.129997,115.25,116.980003,116.206436,7765400
18/05/2023,117.43,119.150002,116.849998,118.870003,118.083939,5970500
19/05/2023,114.559998,115.489998,113.099998,114.760002,114.001122,11672400
22/05/2023,112.849998,112.849998,110.019997,110.18,109.451408,12710300
